id,display_name,type,primary_unit_id,primary_unit_title,unit_ids,unit_titles,unit_count,phrase_components
1dollar,1 Dollar,word,p1-u17,Money & Counting,p1-u17,Money & Counting,1,
5dollars,5 Dollars,word,p1-u17,Money & Counting,p1-u17,Money & Counting,1,
a,A,word,p1-u10,The Alphabet,p1-u10,The Alphabet,1,
adult,Adult,word,p1-u18,Family & People,p1-u18,Family & People,1,
afternoon,Afternoon,word,p1-u40,Time & Calendar,p1-u40,Time & Calendar,1,
again,Again,word,p1-u73,Getting Help,p1-u73,Getting Help,1,
airplane,Airplane,word,p1-u56,Getting There,p1-u56,Getting There,1,
allofsudden,All Of A Sudden,phrase,p1-u71,Everyday Sayings,p1-u71,Everyday Sayings,1,wow;really
almost,Almost,word,p1-u29,Size & Amount,p1-u29,Size & Amount,1,
alphabet,Alphabet,word,p1-u10,The Alphabet,p1-u10,The Alphabet,1,
alright,Alright,word,p1-u02,Everyday Replies,p1-u02,Everyday Replies,1,
also,Also,word,p1-u08,Connect Ideas,p1-u08,Connect Ideas,1,
always,Always,word,p1-u71,Everyday Sayings,p1-u71,Everyday Sayings,1,
america,America / USA,word,p1-u68,Countries,p1-u68,Countries,1,
and,And,word,p1-u08,Connect Ideas,p1-u08,Connect Ideas,1,
angry,Angry,word,p1-u06,Feelings & Emotions,p1-u06,Feelings & Emotions,1,
apple,Apple,word,p1-u35,Fruits & Veggies,p1-u35,Fruits & Veggies,1,
are,Are,word,p1-u01,Getting Started,p1-u01,Getting Started,1,
arm,Arm,word,p1-u42,Body & Wellness,p1-u42,Body & Wellness,1,
arrive,Arrive,word,p1-u56,Getting There,p1-u56,Getting There,1,
art,Art,word,p1-u57,School & Classroom,p1-u57,School & Classroom,1,
ask,Ask,word,p1-u24,Everyday Actions,p1-u24,Everyday Actions,1,
asl,ASL,word,p1-u22,Deaf Culture,p1-u22,Deaf Culture,1,
aunt,Aunt,word,p1-u18,Family & People,p1-u18,Family & People,1,
awesome,Awesome,word,p1-u02,Everyday Replies,p1-u02,Everyday Replies,1,
b,B,word,p1-u10,The Alphabet,p1-u10,The Alphabet,1,
baby,Baby,word,p1-u18,Family & People,p1-u18,Family & People,1,
back,Back,word,p1-u42,Body & Wellness,p1-u42,Body & Wellness,1,
backpack,Backpack,word,p1-u50,Clothes & Accessories,p1-u50,Clothes & Accessories,1,
backyard,Backyard,word,p1-u30,My Home,p1-u30,My Home,1,
bacon,Bacon,word,p1-u37,Food & Drinks,p1-u37,Food & Drinks,1,
bad,Bad,word,p1-u06,Feelings & Emotions,p1-u06,Feelings & Emotions,1,
banana,Banana,word,p1-u35,Fruits & Veggies,p1-u35,Fruits & Veggies,1,
baseball,Baseball,word,p1-u65,Sports,p1-u65,Sports,1,
basement,Basement,word,p1-u30,My Home,p1-u30,My Home,1,
basketball,Basketball,word,p1-u65,Sports,p1-u65,Sports,1,
bathroom,Bathroom,word,p1-u30,My Home,p1-u30,My Home,1,
beach,Beach,word,p1-u62,Nature & Seasons,p1-u62,Nature & Seasons,1,
bear,Bear,word,p1-u60,Animals,p1-u60,Animals,1,
because,Because,word,p1-u08,Connect Ideas,p1-u08,Connect Ideas,1,
bed,Bed,word,p1-u31,Furniture,p1-u31,Furniture,1,
bedroom,Bedroom,word,p1-u30,My Home,p1-u30,My Home,1,
believe,Believe,word,p1-u24,Everyday Actions,p1-u24,Everyday Actions,1,
belt,Belt,word,p1-u50,Clothes & Accessories,p1-u50,Clothes & Accessories,1,
big,Big,word,p1-u29,Size & Amount,p1-u29,Size & Amount,1,
bike,Bike,word,p1-u56,Getting There,p1-u56,Getting There,1,
birthday,Birthday,word,p1-u49,Friends & Holidays,p1-u49,Friends & Holidays,1,
black,Black,word,p1-u27,Colors,p1-u27,Colors,1,
blowmind,Blow Mind,phrase,p1-u71,Everyday Sayings,p1-u71,Everyday Sayings,1,wow;really
blue,Blue,word,p1-u27,Colors,p1-u27,Colors,1,
boat,Boat,word,p1-u56,Getting There,p1-u56,Getting There,1,
body,Body,word,p1-u42,Body & Wellness,p1-u42,Body & Wellness,1,
book,Book,word,p1-u57,School & Classroom,p1-u57,School & Classroom,1,
boots,Boots,word,p1-u50,Clothes & Accessories,p1-u50,Clothes & Accessories,1,
bored,Bored,word,p1-u06,Feelings & Emotions,p1-u06,Feelings & Emotions,1,
boss,Boss,word,p1-u59,Work Life,p1-u59,Work Life,1,
boy,Boy,word,p1-u18,Family & People,p1-u18,Family & People,1,
bracelet,Bracelet,word,p1-u50,Clothes & Accessories,p1-u50,Clothes & Accessories,1,
bread,Bread,word,p1-u37,Food & Drinks,p1-u37,Food & Drinks,1,
breakfast,Breakfast,word,p1-u37,Food & Drinks,p1-u37,Food & Drinks,1,
breathe,Breathe,word,p1-u24,Everyday Actions,p1-u24,Everyday Actions,1,
bright,Bright,word,p1-u27,Colors,p1-u27,Colors,1,
brother,Brother,word,p1-u18,Family & People,p1-u18,Family & People,1,
brown,Brown,word,p1-u27,Colors,p1-u27,Colors,1,
brush,Brush,word,p1-u32,At Home,p1-u32,At Home,1,
bus,Bus,word,p1-u56,Getting There,p1-u56,Getting There,1,
but,But,word,p1-u08,Connect Ideas,p1-u08,Connect Ideas,1,
butter,Butter,word,p1-u37,Food & Drinks,p1-u37,Food & Drinks,1,
bye,Bye,word,p1-u01,Getting Started,p1-u01,Getting Started,1,
c,C,word,p1-u10,The Alphabet,p1-u10,The Alphabet,1,
cake,Cake,word,p1-u37,Food & Drinks,p1-u37,Food & Drinks,1,
call,Call,word,p1-u73,Getting Help,p1-u73,Getting Help,1,
call911,Call 911,phrase,p1-u73,Getting Help,p1-u73,Getting Help,1,call;nineoneone
camera,Camera,word,p1-u69,Devices & Apps,p1-u69,Devices & Apps,1,
can,Can,word,p1-u71,Everyday Sayings,p1-u71,Everyday Sayings,1,
canada,Canada,word,p1-u68,Countries,p1-u68,Countries,1,
cannot,Cannot,word,p1-u71,Everyday Sayings,p1-u71,Everyday Sayings,1,
canyouhelpme,Can You Help Me,phrase,p1-u73,Getting Help,p1-u73,Getting Help,1,you;help;me
canyourepeatthat,Can You Repeat That?,phrase,p1-u73,Getting Help,p1-u73,Getting Help,1,you;repeat;that
caption,Caption,word,p1-u22,Deaf Culture,p1-u22,Deaf Culture,1,
car,Car,word,p1-u56,Getting There,p1-u56,Getting There,1,
carrot,Carrot,word,p1-u35,Fruits & Veggies,p1-u35,Fruits & Veggies,1,
cat,Cat,word,p1-u60,Animals,p1-u60,Animals,1,
chair,Chair,word,p1-u31,Furniture,p1-u31,Furniture,1,
cheese,Cheese,word,p1-u37,Food & Drinks,p1-u37,Food & Drinks,1,
cherry,Cherry,word,p1-u35,Fruits & Veggies,p1-u35,Fruits & Veggies,1,
chicken,Chicken,word,p1-u37,Food & Drinks,p1-u37,Food & Drinks,1,
child,Child,word,p1-u18,Family & People,p1-u18,Family & People,1,
china,China,word,p1-u68,Countries,p1-u68,Countries,1,
