category_id,category_title,mascot_name,word_id,word_display
greetings,First Signs,greetings,hello,Hello
greetings,First Signs,greetings,bye,Bye
greetings,First Signs,greetings,please,Please
greetings,First Signs,greetings,thankyou,Thank You
greetings,First Signs,greetings,sorry,Sorry
greetings,First Signs,greetings,welcome,Welcome
greetings,First Signs,greetings,name,Name
greetings,First Signs,greetings,congratulations,Congratulations
greetings,First Signs,greetings,oops,Oops
greetings,First Signs,greetings,nice,Nice
greetings,First Signs,greetings,meet,Meet
greetings,First Signs,greetings,introduce,Introduce
greetings,First Signs,greetings,sign,Sign
greetings,First Signs,greetings,mynameis,My Name Is
greetings,First Signs,greetings,nicetomeetyou,Nice To Meet You
greetings,First Signs,greetings,howareyou,How Are You
greetings,First Signs,greetings,imfine,I'm Fine
greetings,First Signs,greetings,signslow,Sign Slow
greetings,First Signs,greetings,yourewelcome,You're Welcome
greetings,First Signs,greetings,thankyouverymuch,Thank You Very Much
responses,Everyday Replies,smalltalk,yes,Yes
responses,Everyday Replies,smalltalk,no,No
responses,Everyday Replies,smalltalk,sure,Sure
responses,Everyday Replies,smalltalk,wow,Wow
responses,Everyday Replies,smalltalk,really,Really
responses,Everyday Replies,smalltalk,alright,Alright
responses,Everyday Replies,smalltalk,ok,Ok
responses,Everyday Replies,smalltalk,again,Again
responses,Everyday Replies,smalltalk,wait,Wait
responses,Everyday Replies,smalltalk,nevermind,Never Mind
responses,Everyday Replies,smalltalk,maybe,Maybe
responses,Everyday Replies,smalltalk,dontknow,Don't Know
responses,Everyday Replies,smalltalk,notyet,Not Yet
responses,Everyday Replies,smalltalk,signagain,Sign Again
responses,Everyday Replies,smalltalk,excuseme,Excuse Me
responses,Everyday Replies,smalltalk,seeyoulater,See You Later
responses,Everyday Replies,smalltalk,samehere,Same Here
responses,Everyday Replies,smalltalk,havegoodday,Have A Good Day
responses,Everyday Replies,smalltalk,nicetoseeyou,Nice To See You
responses,Everyday Replies,smalltalk,cool,Cool
responses,Everyday Replies,smalltalk,awesome,Awesome
responses,Everyday Replies,smalltalk,funny,Funny
pronouns,Pronouns,,i,I
pronouns,Pronouns,,me,Me
pronouns,Pronouns,,you,You
pronouns,Pronouns,,we,We
pronouns,Pronouns,,us,Us
pronouns,Pronouns,,our,Our
pronouns,Pronouns,,my,My
pronouns,Pronouns,,your,Your
pronouns,Pronouns,,his,His
pronouns,Pronouns,,mine,Mine
pronouns,Pronouns,,he,He
pronouns,Pronouns,,they,They
pronouns,Pronouns,,she,She
pronouns,Pronouns,,her,Her
pronouns,Pronouns,,him,Him
pronouns,Pronouns,,them,Them
pronouns,Pronouns,,their,Their
pronouns,Pronouns,,yours,Yours
pronouns,Pronouns,,ours,Ours
questions,Question Words,questions,what,What
